table_name;table_cdc_type
f0005;FULL
f0006;FULL
f0010;FULL
f0015;FULL
f0101;FULL
f0111;FULL
f0115;FULL
f01151;FULL
f0116;FULL
f0150;FULL
f03012;FULL
f03b11;INCR
f03b14;FULL
f0401;FULL
f0411;FULL
f0413;FULL
f060116;FULL
f0902;FULL
f1113;FULL
f1201;FULL
f1202;FULL
f1207;FULL
f1217;FULL
f1620;FULL
f3002;FULL
f30026;FULL
f3111;FULL
f3112;FULL
f3411;FULL
f3412;FULL
f3460;FULL
f38010;FULL
f38011;FULL
f38012;FULL
f38111;INCR
f38112;FULL
f4006;FULL
f40205;FULL
f40540;FULL
f4070;FULL
f4071;FULL
f4072;FULL
f4075;FULL
f4076;FULL
f4092;FULL
f40943;FULL
f4096;FULL
f41002;FULL
f41003;FULL
f4101;FULL
f41011;FULL
f4102;INCR
f41022;FULL
f4104;FULL
f4105;FULL
f4111;INCR
f41112;FULL
f41291;FULL
f41500;FULL
#f41511;INCR
f41514;FULL
f4201;INCR
f42019;FULL
f4209;FULL
f4211;INCR
f42119;INCR
f4215;INCR
f4229;FULL
f4301;FULL
f4311;INCR
f4321;FULL
f46011;FULL
f4801;FULL
f4801t;FULL
f4941;FULL
f4942;FULL
f4945;INCR
f4960;FULL
f4961;FULL
f4981;FULL
f550312;FULL
f5509176;FULL
f553402;FULL
f554103;INCR
f554237;FULL
f554501;FULL
f554503;FULL
f554506;INCR
f554900;FULL
f554901;FULL
f554904;FULL
f554905;FULL
f554915;FULL
f554922;FULL
f556202;FULL
f9210;FULL
f4930;FULL
f49501;FULL
f4906;FULL
f42199;INCR
f4074;INCR
f554217;FULL
f0092;FULL
#f49211;INCR
f49219;INCR
f554347;INCR
f4931;FULL
f556103;FULL


